Sex,Age,Apple,Aronia,Banana,Bearberry,Blackberry,Blackcurrant,Blueberry,Cantaloupe,Citron,Clementine,Coconut,Guava,Lime,Lychee,Mango,Orange,Peach,Plum,Quince,Raspberry,Redcurrant,Sambucus,Strawberries,Client
M,63,0,0,90,0,0,0,0,168,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,N
F,32,0,0,0,0,0,0,0,0,0,74,258,0,0,0,0,0,0,0,0,0,0,0,0,N
M,51,0,220,0,0,120,57,48,0,0,0,0,151,0,12,0,0,0,0,0,0,0,0,122,Y
F,30,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,50,0,0,0,0,0,0,0,0,0,86,149,0,10,0,0,0,25,0,0,0,0,0,0,N
F,64,29,86,0,67,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,210,0,0,0,Y
M,50,0,0,0,0,0,165,96,0,0,0,282,0,0,127,0,0,256,0,254,128,0,0,0,Y
M,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,25,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,25,0,0,0,0,0,32,0,0,0,0,0,0,0,0,81,0,0,0,195,0,143,0,0,N
M,28,0,0,0,0,0,0,207,0,0,44,0,0,52,0,0,0,0,0,0,0,0,0,0,N
M,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,N
M,36,163,0,299,0,17,0,0,0,0,0,0,0,0,160,0,0,92,0,0,0,0,152,0,N
M,20,0,133,0,0,0,262,258,0,0,116,0,0,0,0,0,0,43,0,0,0,0,0,0,Y
F,66,0,0,0,0,107,0,0,102,0,0,0,179,0,3,0,0,0,0,0,288,0,0,0,N
M,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,42,0,0,0,0,0,90,0,0,0,0,0,104,0,152,214,205,183,0,0,0,0,0,0,Y
F,27,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,N
M,32,0,241,205,186,0,0,125,0,0,0,0,0,0,0,0,0,0,0,27,0,70,0,0,Y
M,27,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,186,284,0,0,89,0,0,0,N
F,19,0,0,0,0,0,0,0,0,0,103,0,0,43,0,293,0,0,0,0,0,110,0,0,N
M,48,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,48,0,0,0,0,0,0,0,0,0,0,0,0,280,177,0,0,0,0,0,0,168,86,124,Y
F,47,5,0,276,0,0,51,86,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,194,N
F,38,0,54,0,27,0,0,0,1,0,0,0,0,149,238,0,0,0,0,0,0,0,0,0,N
M,57,0,0,0,0,178,0,0,0,0,0,282,0,0,0,38,0,0,0,0,0,179,0,96,Y
F,41,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,4,0,0,0,0,N
