Sex,Age,Apple,Aronia,Banana,Bearberry,Blackberry,Blackcurrant,Blueberry,Cantaloupe,Citron,Clementine,Coconut,Guava,Lime,Lychee,Mango,Orange,Peach,Plum,Quince,Raspberry,Redcurrant,Sambucus,Strawberries,Client
M,57,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,224,0,N
F,31,0,0,74,0,0,0,0,0,0,244,229,0,0,0,0,0,0,0,0,0,0,0,0,N
F,44,0,0,0,234,0,0,271,275,0,0,0,0,0,0,0,0,0,279,0,0,0,0,104,Y
M,48,0,0,0,0,0,0,0,186,0,223,0,0,0,0,241,0,0,11,0,12,0,104,0,N
F,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,30,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,N
M,52,0,0,0,0,0,39,237,0,0,0,0,0,0,273,0,0,0,0,41,210,0,0,227,Y
F,42,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,51,208,0,0,0,0,0,236,0,97,129,0,222,0,0,157,0,166,0,0,0,0,0,0,N
F,59,245,0,163,0,0,0,0,184,0,0,0,0,205,0,0,50,168,0,0,0,0,0,0,N
M,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,30,0,0,0,152,0,0,0,0,0,0,0,264,0,0,79,0,68,0,0,0,0,55,0,N
F,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,N
F,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,Y
M,55,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,41,0,0,0,0,0,0,0,137,0,0,0,0,225,0,0,0,160,0,0,0,0,0,0,N
M,50,135,0,0,0,89,0,0,50,39,0,0,0,0,0,0,0,0,0,0,0,174,0,0,N
M,65,0,0,0,0,0,0,0,0,0,0,0,80,0,168,0,0,0,0,0,0,0,0,0,N
M,21,0,0,0,0,0,0,20,0,290,0,0,10,48,0,0,247,78,0,0,0,0,0,0,N
M,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,31,0,52,0,0,83,262,0,0,167,0,0,126,260,0,0,0,0,0,0,0,182,0,0,Y
F,24,0,185,0,0,0,0,105,0,243,283,0,0,0,0,0,276,0,0,0,0,0,0,20,N
F,32,0,0,0,0,0,0,62,0,0,0,10,0,0,0,0,0,0,0,0,0,173,0,0,N
F,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,28,0,0,253,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,N
F,33,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,N
M,42,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0,0,105,N
F,56,0,0,0,0,31,0,206,0,68,0,0,0,0,254,14,0,40,0,0,0,0,0,0,Y
M,66,0,0,137,0,0,0,0,0,0,0,9,170,0,204,0,234,0,0,0,0,0,0,0,Y
F,21,256,0,0,0,160,0,173,0,24,0,0,227,63,0,0,0,0,0,0,0,0,0,0,N
M,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,231,0,0,N
F,31,0,263,0,0,0,244,90,80,0,0,0,0,0,0,0,0,0,0,190,228,0,227,0,Y
M,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,65,0,0,0,49,0,0,0,137,0,210,0,0,273,0,0,0,0,0,0,0,0,0,0,N
F,35,0,0,0,0,0,141,0,0,0,155,0,0,0,0,0,0,0,0,0,122,230,256,200,Y
M,40,0,0,0,27,0,0,0,0,0,0,238,0,0,0,212,14,0,0,32,0,0,0,232,N
M,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,144,0,0,6,N
F,21,0,0,0,0,0,0,0,0,115,0,0,0,0,0,9,0,0,0,0,0,0,0,0,N
F,26,0,167,188,0,35,0,0,0,0,0,68,0,0,0,0,0,0,45,277,44,0,0,0,N
M,32,0,203,0,0,0,51,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,102,N
F,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,24,0,96,175,0,0,0,0,0,0,0,0,148,0,0,0,146,214,0,0,0,0,253,0,Y
M,51,0,0,0,0,0,46,0,0,293,0,0,187,0,284,63,0,0,0,0,0,0,194,0,Y
F,41,0,0,0,291,186,0,0,89,196,0,0,202,0,0,140,0,0,0,0,0,0,0,0,N
M,60,0,0,0,249,0,0,71,116,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,N
F,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,N
