Sex,Age,Apple,Aronia,Banana,Bearberry,Blackberry,Blackcurrant,Blueberry,Cantaloupe,Citron,Clementine,Coconut,Guava,Lime,Lychee,Mango,Orange,Peach,Plum,Quince,Raspberry,Redcurrant,Sambucus,Strawberries,Client
M,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,N
F,59,0,242,253,0,0,0,261,0,0,0,0,0,101,0,0,0,0,294,0,0,0,0,85,N
M,20,0,226,0,0,0,23,0,0,0,0,0,0,0,261,72,141,2,42,0,0,0,0,0,N
M,38,0,228,0,0,0,219,0,120,283,0,0,0,0,0,0,0,201,0,265,0,0,0,0,N
M,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,62,0,157,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,Y
F,37,0,0,0,0,0,0,0,0,99,0,0,0,76,0,0,0,0,0,90,0,0,0,0,N
F,29,0,0,0,0,0,0,159,0,0,72,0,132,0,0,7,0,191,0,0,0,0,0,0,N
M,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,39,0,0,0,173,0,0,0,0,0,106,0,93,0,0,0,0,0,133,22,259,0,0,0,N
F,40,84,0,0,18,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,19,0,0,0,0,0,103,0,0,0,0,0,0,0,140,0,0,115,0,0,0,231,85,0,N
M,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,N
F,53,220,0,24,0,0,125,0,297,0,0,246,254,0,0,0,0,0,269,0,0,0,0,0,Y
F,60,0,0,0,0,0,239,0,0,0,0,0,164,0,236,0,0,0,0,0,0,70,0,0,N
M,25,0,242,136,0,0,290,0,0,183,0,0,0,0,0,0,0,133,0,0,0,249,0,0,N
M,35,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,175,0,0,0,0,0,195,0,N
M,20,0,0,0,0,0,0,277,0,0,0,0,91,0,0,0,0,0,0,21,0,0,0,0,N
F,29,114,0,0,0,0,0,0,0,60,83,125,0,0,0,0,0,0,125,0,0,0,0,124,N
M,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,45,0,0,0,0,0,0,71,0,0,0,0,202,0,0,0,0,0,198,0,0,0,115,200,Y
M,28,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,25,0,0,212,0,0,0,0,0,100,0,0,0,244,203,0,0,272,0,0,219,0,252,0,Y
M,60,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
M,20,0,198,0,0,0,0,112,0,0,0,0,0,193,0,0,0,0,195,0,0,0,0,0,N
M,60,0,132,0,0,0,0,0,0,138,0,0,0,0,0,264,0,0,0,0,0,0,176,170,N
M,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,N
F,19,0,23,239,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,N
M,27,30,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,30,0,0,0,0,148,0,0,0,162,0,0,38,0,0,85,0,0,0,0,0,0,214,288,N
M,58,0,0,0,0,0,0,0,0,0,47,0,192,0,70,0,0,0,0,193,204,0,0,235,N
F,34,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,220,N
F,25,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,298,0,N
M,29,0,0,0,168,120,0,0,0,0,0,0,200,0,0,33,0,0,91,0,96,0,0,0,Y
M,61,0,283,0,0,0,0,0,110,0,209,0,0,0,0,81,0,0,0,0,0,118,0,0,Y
M,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,182,0,0,N
M,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
M,50,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,122,0,20,0,0,18,0,0,N
M,33,0,0,0,0,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,N
F,18,0,0,18,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,154,84,251,0,0,N
F,39,0,0,0,111,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,N
F,46,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,157,0,0,0,61,0,0,0,N
F,21,0,0,231,151,0,280,251,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,N
F,52,0,103,0,0,0,0,0,211,0,0,0,0,125,0,0,225,254,0,0,0,0,225,0,N
F,19,0,292,0,0,0,82,0,0,0,0,0,111,134,0,0,0,0,0,0,0,0,0,0,Y
M,50,0,0,1,0,0,0,0,0,0,0,0,0,197,238,0,17,0,0,0,254,0,214,0,Y
M,66,0,0,0,273,166,0,0,0,127,4,0,0,0,117,0,0,0,0,0,0,0,0,0,Y
M,19,0,0,194,282,0,0,58,0,0,115,144,0,0,0,0,0,0,88,0,0,0,0,0,Y
F,32,114,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
F,38,0,0,237,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,107,0,0,0,Y
F,35,99,0,0,0,0,0,109,0,0,0,137,0,0,0,43,0,0,154,58,0,0,0,0,Y
M,40,56,0,0,12,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,N
F,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
